"income","workclass","education","capital-gain","capital-loss","hours-per-week"
"<=50K","Private","Bachelors",0,0,40
"<=50K","Private","HS-grad",0,0,50
"<=50K",,"10th",0,0,40
"<=50K","Private","Some-college",0,0,32
"<=50K","Private","HS-grad",0,0,60
"<=50K","Private","HS-grad",0,0,25
"<=50K","Private","HS-grad",0,0,40
"<=50K","Private","11th",0,0,40
"<=50K","Private","Bachelors",0,0,16
"<=50K","Private","HS-grad",0,0,40
"<=50K","Private","Assoc-voc",0,0,45
"<=50K","Private","Bachelors",0,0,12
">50K","Private","HS-grad",0,0,40
">50K","Private","Some-college",0,0,40
">50K","Private","Masters",0,0,40
"<=50K","Private","Bachelors",0,0,55
"<=50K","Private","HS-grad",0,0,40
"<=50K","Private","Bachelors",0,0,40
">50K","Private","Bachelors",7298,0,55
"<=50K","Private","10th",0,0,40
"<=50K","Private","HS-grad",3325,0,45
"<=50K","Self-emp-inc","Assoc-voc",0,0,60
"<=50K","Private","HS-grad",0,0,40
"<=50K","Private","Some-college",0,0,40
"<=50K","Self-emp-inc","Some-college",0,0,80
"<=50K","Private","HS-grad",0,0,40
"<=50K","Self-emp-not-inc","HS-grad",0,0,40
"<=50K",,"HS-grad",0,0,35
"<=50K","Private","Some-college",0,0,25
">50K","Private","Prof-school",99999,0,65
"<=50K","Local-gov","HS-grad",0,0,35
"<=50K","Private","HS-grad",0,0,38
"<=50K","Private","Some-college",0,0,10
"<=50K","State-gov","Some-college",0,0,25
">50K","Private","Bachelors",0,0,20
">50K","Private","Bachelors",7688,0,50
">50K","Private","Some-college",15024,0,18
"<=50K","Self-emp-not-inc","10th",0,0,40
"<=50K","Private","Bachelors",0,0,40
"<=50K","Private","HS-grad",0,0,40
"<=50K","Private","7th-8th",0,0,32
"<=50K","Private","10th",0,0,50
"<=50K","Private","Some-college",0,0,40
">50K","Private","HS-grad",0,0,40
">50K","Private","Assoc-voc",0,0,45
"<=50K","Private","Some-college",0,0,80
">50K","Self-emp-inc","Masters",0,0,45
"<=50K","Private","HS-grad",0,0,40
"<=50K",,"HS-grad",0,0,40
"<=50K","Private","HS-grad",4416,0,42
">50K","Private","Bachelors",15024,0,75
"<=50K","Private","HS-grad",0,0,40
"<=50K","Private","HS-grad",0,0,45
">50K","Federal-gov","Masters",0,0,40
"<=50K","Private","Bachelors",0,0,40
"<=50K","Private","HS-grad",0,0,35
"<=50K","Private","Bachelors",0,0,50
"<=50K","Private","Masters",0,0,40
"<=50K","Private","Some-college",0,0,40
"<=50K","Private","HS-grad",0,0,40
"<=50K","Private","Bachelors",2977,0,40
"<=50K","Private","HS-grad",0,0,40
"<=50K","Private","Some-college",0,0,25
">50K","Private","HS-grad",0,0,80
"<=50K","Private","11th",0,0,10
"<=50K","State-gov","Assoc-acdm",0,0,35
"<=50K","Private","1st-4th",0,0,35
"<=50K","Private","HS-grad",0,0,16
"<=50K","Private","Some-college",0,0,25
"<=50K","Private","HS-grad",0,0,40
">50K","Local-gov","Bachelors",0,0,50
"<=50K","State-gov","Some-college",0,0,12
"<=50K","Self-emp-not-inc","HS-grad",0,0,30
"<=50K","Private","Some-college",0,0,40
">50K","Local-gov","Bachelors",0,0,35
"<=50K","Private","HS-grad",0,0,40
"<=50K","Private","HS-grad",0,0,40
">50K","Private","Some-college",0,0,72
"<=50K","Private","Assoc-acdm",0,0,40
">50K","Private","HS-grad",0,0,40
"<=50K","Private","10th",0,0,40
"<=50K","Private","Bachelors",0,0,40
"<=50K",,"Some-college",0,0,35
"<=50K","Private","5th-6th",0,0,40
"<=50K","Local-gov","Bachelors",0,0,39
"<=50K",,"HS-grad",0,0,48
">50K","State-gov","Masters",0,0,40
"<=50K","Self-emp-not-inc","Some-college",0,0,48
">50K","State-gov","Doctorate",8614,0,60
"<=50K","Private","HS-grad",0,0,30
"<=50K","Private","Some-college",0,0,75
"<=50K","Private","Bachelors",0,0,40
"<=50K","Local-gov","Some-college",0,0,30
">50K","State-gov","Masters",0,0,60
">50K","State-gov","Masters",7688,0,38
"<=50K","Self-emp-inc","Some-college",0,0,40
"<=50K","Private","5th-6th",0,0,55
"<=50K","Private","HS-grad",0,0,40
">50K","Self-emp-inc","Assoc-acdm",0,0,40
">50K","Private","Masters",0,0,40
"<=50K","Local-gov","Assoc-acdm",0,0,56
"<=50K","Local-gov","Some-college",0,0,40
"<=50K","Self-emp-not-inc","Bachelors",0,0,60
">50K","Private","Some-college",7298,0,40
"<=50K",,"10th",0,0,30
"<=50K","Local-gov","Masters",0,0,45
"<=50K","Private","HS-grad",0,0,40
"<=50K","Local-gov","HS-grad",0,0,40
"<=50K","Private","HS-grad",0,0,40
"<=50K","Private","11th",0,0,20
"<=50K","Private","10th",0,0,50
">50K","Self-emp-inc","Some-college",0,0,40
"<=50K","Private","HS-grad",0,0,20
"<=50K","Private","Some-college",0,0,40
"<=50K","Private","HS-grad",0,0,44
"<=50K","Private","Some-college",0,0,40
">50K","Private","Some-college",0,0,40
"<=50K",,"7th-8th",0,0,40
"<=50K","Local-gov","Some-college",0,0,72
"<=50K","Private","HS-grad",0,0,30
"<=50K","Private","Bachelors",0,0,40
"<=50K",,"10th",0,0,30
">50K","Private","HS-grad",0,0,40
"<=50K","Private","HS-grad",0,0,44
">50K","Private","Some-college",7688,0,40
"<=50K","Private","Bachelors",0,0,40
">50K","Private","Some-college",7298,0,45
"<=50K","Private","Some-college",0,0,40
"<=50K","Private","Some-college",0,0,40
"<=50K","Private","Bachelors",0,0,40
">50K","Private","Bachelors",0,0,50
"<=50K","Self-emp-not-inc","Some-college",0,0,35
"<=50K","Private","Bachelors",0,0,30
"<=50K","Private","Some-college",0,0,50
"<=50K","Private","Assoc-acdm",0,0,50
"<=50K","Private","HS-grad",0,0,40
">50K","Private","Masters",0,0,20
">50K","Private","HS-grad",0,0,40
">50K","Private","Some-college",0,0,70
"<=50K","Private","HS-grad",0,0,40
">50K","Private","Bachelors",0,0,55
"<=50K","Private","Assoc-voc",0,0,40
"<=50K","Self-emp-not-inc","Assoc-voc",0,0,60
"<=50K","Private","Assoc-voc",0,0,45
">50K","Self-emp-inc","Prof-school",99999,0,60
">50K","Private","Bachelors",0,0,45
"<=50K",,"HS-grad",0,0,1
"<=50K","Private","Bachelors",0,0,48
"<=50K","Self-emp-not-inc","Some-college",0,2258,40
">50K","Private","Masters",0,0,40
"<=50K","Private","HS-grad",0,0,3
">50K","Private","HS-grad",0,0,45
"<=50K","Private","Bachelors",0,0,40
"<=50K","Private","HS-grad",2597,0,40
"<=50K","Private","HS-grad",0,0,45
">50K","Private","Bachelors",0,0,50
">50K","Private","HS-grad",0,0,45
">50K","Local-gov","Bachelors",0,0,55
">50K","Private","Bachelors",0,1902,43
"<=50K","Private","Bachelors",0,0,24
"<=50K","Private","11th",0,0,40
"<=50K","Local-gov","Assoc-voc",0,0,35
">50K","Self-emp-inc","HS-grad",0,0,40
"<=50K","Private","11th",0,0,40
"<=50K","Private","7th-8th",0,0,75
"<=50K","Private","HS-grad",0,0,40
">50K","Local-gov","Assoc-voc",0,0,48
">50K","Private","HS-grad",0,0,38
">50K","State-gov","Doctorate",0,0,50
"<=50K","Private","Some-college",0,0,25
">50K","Private","Masters",0,0,50
"<=50K","Private","Some-college",0,0,40
"<=50K","Private","HS-grad",0,0,25
"<=50K","Private","Bachelors",0,0,40
"<=50K","Private","HS-grad",0,0,45
"<=50K","Private","HS-grad",0,0,25
">50K","Self-emp-inc","Some-college",0,0,50
"<=50K","Private","Some-college",2174,0,60
"<=50K","Private","HS-grad",0,0,36
"<=50K",,"5th-6th",0,0,40
">50K","Private","Assoc-acdm",0,0,46
">50K","Self-emp-not-inc","Bachelors",0,0,40
"<=50K","Private","Some-college",0,0,40
"<=50K","Local-gov","Some-college",0,0,40
">50K","Private","Some-college",0,0,50
"<=50K","Private","Some-college",0,0,40
"<=50K","Private","HS-grad",0,0,40
"<=50K","Private","HS-grad",0,0,40
"<=50K",,"Masters",0,0,1
"<=50K","Private","HS-grad",0,0,40
">50K","Private","Masters",0,0,50
"<=50K","State-gov","Some-college",0,0,20
"<=50K","Private","5th-6th",0,0,40
"<=50K","Private","Some-college",0,0,30
"<=50K","Private","Bachelors",0,0,40
">50K","Private","Masters",0,0,60
"<=50K","Private","12th",0,0,40
"<=50K","Private","HS-grad",0,0,30
"<=50K","Self-emp-not-inc","11th",0,0,15
">50K","Private","HS-grad",0,0,50
"<=50K","Private","10th",0,0,38
"<=50K","Private","Some-college",0,0,34
"<=50K","Federal-gov","Some-college",0,0,40
"<=50K","Private","HS-grad",0,0,38
"<=50K","State-gov","Masters",0,0,50
">50K","Self-emp-not-inc","Bachelors",0,0,50
"<=50K","Private","HS-grad",0,0,48
">50K","Private","Some-college",8614,0,39
"<=50K",,"HS-grad",0,0,40
"<=50K","Private","Assoc-voc",0,0,40
"<=50K","Private","Bachelors",0,0,40
"<=50K","Private","Some-college",0,0,33
"<=50K","Private","HS-grad",0,0,27
">50K","Private","Some-college",0,0,41
">50K","Private","Assoc-acdm",0,1902,40
"<=50K","State-gov","Bachelors",0,0,40
">50K","Private","HS-grad",0,0,40
"<=50K","Private","7th-8th",0,1602,32
"<=50K","Private","9th",0,0,40
">50K","Local-gov","HS-grad",0,0,40
"<=50K","Private","HS-grad",0,0,35
"<=50K","Private","1st-4th",0,0,40
">50K","Private","HS-grad",0,0,50
"<=50K","Private","Bachelors",0,0,40
">50K","Private","Doctorate",0,0,40
">50K","Private","HS-grad",0,1848,50
"<=50K","Private","Bachelors",0,0,50
"<=50K","Private","Some-college",0,0,16
">50K","Private","Some-college",0,0,50
"<=50K","Private","Masters",0,0,40
">50K","Private","Some-college",0,0,44
"<=50K","State-gov","Bachelors",0,0,40
"<=50K","Private","10th",0,0,30
"<=50K","Private","Some-college",0,0,44
"<=50K","Private","Masters",0,0,40
"<=50K",,"Bachelors",0,0,10
"<=50K","Private","Bachelors",0,0,35
"<=50K","Private","9th",0,0,40
">50K","Private","Doctorate",0,0,80
"<=50K","Private","Bachelors",0,0,30
"<=50K","Private","HS-grad",0,0,40
">50K","Private","Masters",7298,0,60
"<=50K","State-gov","Some-college",0,810,38
"<=50K",,"Some-college",3432,0,30
">50K","Private","HS-grad",0,0,40
"<=50K","Private","HS-grad",0,0,40
"<=50K","Private","11th",0,0,40
"<=50K","Private","Bachelors",0,0,40
"<=50K","Private","HS-grad",0,0,35
"<=50K","Private","HS-grad",0,0,37
">50K","Private","Assoc-voc",0,0,40
"<=50K","Private","Some-college",0,0,60
">50K","Local-gov","Some-college",15024,0,56
"<=50K","Private","Bachelors",0,0,20
"<=50K","Private","11th",0,0,40
"<=50K","Private","HS-grad",0,0,40
"<=50K","Private","7th-8th",0,0,48
"<=50K","Private","HS-grad",2885,0,45
">50K","Private","HS-grad",0,0,40
">50K","Self-emp-not-inc","Prof-school",15024,0,50
"<=50K","Self-emp-not-inc","HS-grad",0,0,40
"<=50K","Self-emp-not-inc","Bachelors",0,0,50
"<=50K","Private","Some-college",0,0,50
"<=50K","Local-gov","Masters",0,0,35
">50K","Self-emp-not-inc","Prof-school",0,0,30
">50K","Federal-gov","Doctorate",0,0,72
">50K","Private","Some-college",0,0,46
">50K","Private","HS-grad",0,0,40
">50K","State-gov","Some-college",0,0,40
">50K","Self-emp-not-inc","Prof-school",0,2824,45
"<=50K","Private","Assoc-voc",0,0,40
"<=50K","State-gov","Some-college",0,0,40
"<=50K","Private","5th-6th",0,0,50
">50K","Private","Bachelors",0,0,45
"<=50K","Self-emp-inc","Some-college",0,0,65
"<=50K","Private","Assoc-voc",0,0,30
"<=50K",,"Bachelors",0,0,40
"<=50K","Private","HS-grad",0,0,40
"<=50K","Private","Assoc-acdm",0,0,40
"<=50K","Private","HS-grad",0,0,40
"<=50K","Private","Some-college",0,0,12
"<=50K","Private","HS-grad",0,0,40
"<=50K","Private","HS-grad",0,0,40
">50K","Private","Masters",14344,0,48
">50K","Local-gov","Prof-school",0,0,40
"<=50K","Private","Assoc-voc",0,0,45
"<=50K","Private","Some-college",0,0,44
"<=50K","Self-emp-not-inc","Bachelors",0,0,60
"<=50K","Private","Some-college",0,0,10
"<=50K","Self-emp-not-inc","HS-grad",0,0,60
"<=50K","Private","1st-4th",0,0,40
"<=50K","Private","Some-college",0,0,25
"<=50K","Private","HS-grad",0,0,45
"<=50K","Private","11th",0,0,40
"<=50K","Private","HS-grad",0,0,40
"<=50K","Private","9th",0,0,40
"<=50K","Private","Some-college",0,0,55
"<=50K","Private","1st-4th",0,0,40
"<=50K","Private","HS-grad",0,0,40
"<=50K","Self-emp-not-inc","7th-8th",0,0,40
"<=50K","Private","Bachelors",0,0,50
"<=50K","Private","Some-college",0,0,48
"<=50K","Private","9th",0,0,32
">50K","Self-emp-not-inc","Bachelors",7688,0,40
">50K","Private","Some-college",0,0,60
"<=50K","Private","HS-grad",0,0,40
">50K","Private","HS-grad",0,0,40
"<=50K","Private","9th",2228,0,37
"<=50K","Private","9th",0,0,50
"<=50K",,"Some-college",0,0,25
">50K","Private","Bachelors",0,0,45
">50K","Private","HS-grad",0,0,40
">50K","Private","Assoc-voc",3103,0,55
">50K","Self-emp-not-inc","Masters",0,0,40
"<=50K","Private","Some-college",0,0,40
"<=50K","Private","Assoc-voc",0,0,36
"<=50K","Private","Some-college",0,0,40
"<=50K","Private","HS-grad",0,0,40
"<=50K","Private","Some-college",0,0,40
"<=50K","Private","HS-grad",0,0,30
">50K","Private","Doctorate",0,1977,50
"<=50K","Local-gov","HS-grad",4064,0,22
"<=50K",,"Some-college",0,0,1
">50K","Private","Some-college",0,0,40
"<=50K","Federal-gov","Some-college",0,0,40
"<=50K","Private","Assoc-acdm",0,0,50
"<=50K","Private","Some-college",0,0,40
">50K","Private","Masters",0,0,40
"<=50K","Private","HS-grad",0,0,40
"<=50K","Self-emp-inc","Some-college",0,0,40
"<=50K","Local-gov","Assoc-acdm",0,0,40
"<=50K","Private","Some-college",0,0,40
"<=50K","Private","HS-grad",0,0,40
"<=50K","Private","Some-college",0,2051,40
"<=50K","Private","Some-college",0,0,20
"<=50K","Private","Some-college",0,0,40
"<=50K","Private","Some-college",0,0,15
"<=50K","Private","Assoc-acdm",0,0,20
"<=50K","Private","Assoc-voc",0,0,40
"<=50K","Federal-gov","Some-college",0,0,40
"<=50K","Private","Bachelors",0,0,40
"<=50K","Private","Some-college",0,0,45
"<=50K","Private","10th",0,0,42
"<=50K","State-gov","HS-grad",0,0,40
"<=50K",,"Some-college",0,0,40
"<=50K","Private","7th-8th",0,0,40
"<=50K","Private","HS-grad",0,0,40
">50K","Private","HS-grad",0,0,40
">50K","Self-emp-inc","HS-grad",15024,0,55
">50K","Local-gov","HS-grad",0,0,40
">50K","Private","HS-grad",0,0,40
"<=50K","Private","Bachelors",0,0,40
">50K","Federal-gov","Bachelors",0,0,45
"<=50K","Private","Some-college",0,0,40
">50K","Self-emp-inc","Assoc-voc",0,0,60
"<=50K","Private","HS-grad",0,0,20
"<=50K","Private","10th",0,0,40
"<=50K","Private","HS-grad",0,0,40
"<=50K","Private","Assoc-acdm",0,0,45
"<=50K",,"Some-college",0,0,40
"<=50K","Self-emp-not-inc","Some-college",0,0,35
"<=50K","Private","Some-college",0,0,10
"<=50K","Private","HS-grad",0,0,50
"<=50K","Private","12th",0,0,18
"<=50K",,"10th",0,0,1
"<=50K","Private","Some-college",0,0,40
"<=50K","Private","9th",0,0,40
"<=50K","Private","Assoc-voc",0,0,43
"<=50K","Private","HS-grad",0,0,20
">50K","Private","Assoc-voc",0,0,40
"<=50K","Private","Some-college",0,0,45
"<=50K","Self-emp-not-inc","Some-college",0,0,60
"<=50K","Private","HS-grad",0,0,45
">50K","Private","Masters",0,0,40
"<=50K","Private","Some-college",0,0,48
"<=50K","Private","Some-college",0,0,45
"<=50K","Self-emp-not-inc","Some-college",0,0,60
">50K","Private","Assoc-acdm",0,0,40
">50K","Private","Masters",15024,0,50
"<=50K","Self-emp-not-inc","HS-grad",0,0,70
"<=50K","Self-emp-inc","Some-college",0,0,40
"<=50K","Self-emp-not-inc","10th",0,0,70
"<=50K","Private","HS-grad",0,0,40
"<=50K","Private","Some-college",0,0,40
"<=50K","Private","10th",0,0,12
"<=50K","Private","12th",0,0,16
"<=50K","Private","HS-grad",0,0,40
">50K","Private","Bachelors",0,0,35
"<=50K",,"Masters",0,0,15
"<=50K","Private","Some-college",0,0,40
"<=50K","Private","1st-4th",0,0,38
"<=50K","Self-emp-not-inc","HS-grad",0,0,55
">50K","Private","Masters",0,0,38
"<=50K","Private","Bachelors",0,0,40
"<=50K","Private","Some-college",0,0,30
">50K","Private","Bachelors",0,0,60
"<=50K","Private","Some-college",0,0,24
"<=50K","Private","Masters",0,0,60
"<=50K","Private","1st-4th",0,0,40
"<=50K","Private","10th",0,0,6
"<=50K","Private","HS-grad",0,0,40
"<=50K","Private","Some-college",0,0,50
"<=50K","Private","HS-grad",0,0,36
"<=50K","Private","HS-grad",2174,0,40
">50K","Self-emp-not-inc","Bachelors",0,0,8
"<=50K","Private","Some-college",0,1602,24
"<=50K","Private","10th",0,0,11
"<=50K","Private","HS-grad",0,0,40
"<=50K","Private","Some-college",0,0,25
"<=50K",,"Some-college",0,0,20
"<=50K","Private","Some-college",0,0,40
"<=50K","Self-emp-not-inc","HS-grad",0,0,40
"<=50K","Private","Some-college",5013,0,40
">50K","Private","Assoc-acdm",0,0,40
"<=50K","Private","10th",0,0,40
"<=50K","Private","HS-grad",0,0,40
"<=50K","Private","HS-grad",0,0,40
"<=50K","Self-emp-inc","10th",0,0,30
"<=50K","Private","Masters",0,0,50
"<=50K","Private","Masters",0,0,35
"<=50K","Private","Some-college",3325,0,53
"<=50K","Private","Bachelors",0,0,40
"<=50K","Self-emp-not-inc","HS-grad",0,0,60
">50K","Private","Bachelors",0,0,60
"<=50K","Private","11th",0,0,20
"<=50K","Private","HS-grad",0,0,50
"<=50K","Private","7th-8th",0,0,50
">50K","State-gov","Bachelors",0,0,38
"<=50K","Local-gov","7th-8th",0,0,40
"<=50K","Self-emp-not-inc","Some-college",0,0,40
"<=50K","Private","Some-college",2907,0,40
">50K","Self-emp-not-inc","Some-college",3103,0,40
">50K","Self-emp-not-inc","Masters",10520,0,45
"<=50K","Private","1st-4th",0,0,85
"<=50K","Private","HS-grad",0,0,30
"<=50K","Private","HS-grad",0,0,40
"<=50K","Private","Some-college",0,0,45
"<=50K","Private","10th",0,0,40
">50K","Private","Masters",15024,0,45
"<=50K","Self-emp-not-inc","10th",0,0,40
"<=50K","Self-emp-inc","HS-grad",1151,0,50
"<=50K","Self-emp-inc","HS-grad",0,0,40
"<=50K","Private","HS-grad",0,0,40
"<=50K","State-gov","HS-grad",0,0,50
"<=50K","Local-gov","9th",0,0,40
">50K","Private","Bachelors",0,0,20
"<=50K","Private","Bachelors",0,0,20
"<=50K","Private","HS-grad",0,0,30
"<=50K","Private","HS-grad",0,0,45
"<=50K","Private","Some-college",0,0,40
"<=50K","Local-gov","Assoc-acdm",5013,0,45
"<=50K","Private","Bachelors",0,0,50
"<=50K","Private","Some-college",0,0,15
"<=50K","Private","Some-college",0,0,30
">50K","Federal-gov","Bachelors",0,0,42
"<=50K","Private","Some-college",0,0,40
"<=50K","Private","HS-grad",0,0,45
"<=50K","Private","HS-grad",0,0,40
"<=50K","Self-emp-not-inc","HS-grad",0,0,50
"<=50K","Private","HS-grad",0,0,20
"<=50K","Private","HS-grad",0,0,40
"<=50K","Self-emp-not-inc","Some-college",0,0,24
"<=50K","Private","HS-grad",0,0,50
"<=50K","Private","Bachelors",0,0,50
"<=50K","Private","Assoc-voc",0,0,40
">50K","Self-emp-not-inc","HS-grad",27828,0,55
"<=50K","Private","Some-college",0,0,40
"<=50K","Private","Some-college",0,0,25
"<=50K","Private","HS-grad",0,0,50
"<=50K","Private","11th",0,0,16
"<=50K","Local-gov","Some-college",0,0,44
"<=50K","Private","Bachelors",0,0,40
"<=50K",,"11th",0,0,3
">50K","Private","HS-grad",0,0,40
"<=50K","Self-emp-inc","Masters",0,0,40
">50K","Private","HS-grad",0,0,40
"<=50K","Private","10th",0,0,40
"<=50K",,"HS-grad",0,0,20
"<=50K","Private","HS-grad",0,0,60
"<=50K","Private","HS-grad",0,0,40
"<=50K","Private","Bachelors",0,0,45
">50K","Self-emp-not-inc","Some-college",0,0,38
"<=50K","Private","Masters",4650,0,40
"<=50K","Private","Some-college",0,1719,30
"<=50K",,"Some-college",0,0,35
">50K","Self-emp-not-inc","Bachelors",0,0,50
"<=50K","Private","Some-college",0,0,55
">50K","Private","Some-college",0,0,32
"<=50K","Local-gov","HS-grad",0,0,40
"<=50K","Private","Some-college",0,0,40
"<=50K","Private","Some-college",0,0,40
"<=50K","Private","Bachelors",0,0,40
">50K","Private","Some-college",14084,0,16
">50K","Private","Some-college",0,0,35
"<=50K","Private","HS-grad",0,0,55
"<=50K","Private","HS-grad",0,0,40
">50K","Private","Some-college",0,0,48
">50K","Private","HS-grad",0,0,30
"<=50K","Private","10th",0,0,40
">50K","Private","Bachelors",0,0,55
">50K","Private","Bachelors",0,0,50
"<=50K","Private","9th",0,0,40
"<=50K","Local-gov","Some-college",0,1740,40
"<=50K","Self-emp-not-inc","Bachelors",0,0,60
">50K","Private","Bachelors",0,0,36
"<=50K","Private","Some-college",0,0,20
"<=50K","Private","11th",0,0,35
"<=50K","Private","Bachelors",0,0,50
"<=50K","Private","Bachelors",0,0,45
"<=50K","Private","HS-grad",0,0,40
"<=50K","Private","Some-college",0,0,40
">50K","Private","Some-college",0,0,37
"<=50K","Private","HS-grad",0,0,40
"<=50K","Private","Assoc-voc",0,1740,40
"<=50K","Private","1st-4th",0,0,40
"<=50K","Private","HS-grad",0,0,40
"<=50K","Private","HS-grad",0,0,20
"<=50K","Private","HS-grad",0,0,36
"<=50K","State-gov","Some-college",0,0,40
"<=50K","Private","HS-grad",0,0,28
"<=50K","Self-emp-not-inc","HS-grad",0,0,50
">50K","Self-emp-not-inc","Bachelors",0,1977,70
"<=50K","Self-emp-not-inc","12th",0,0,35
"<=50K","Private","Assoc-voc",0,0,40
">50K","Self-emp-inc","Doctorate",7688,0,60
"<=50K","Private","HS-grad",0,0,40
">50K","Private","Bachelors",0,0,40
"<=50K","Private","5th-6th",0,0,40
"<=50K","Private","HS-grad",0,0,16
"<=50K","Private","HS-grad",0,0,40
"<=50K","Private","HS-grad",0,0,40
"<=50K","Private","5th-6th",0,0,24
"<=50K","Private","Bachelors",0,0,45
">50K",,"Doctorate",0,0,50
"<=50K","Private","HS-grad",0,0,35
">50K","Self-emp-inc","10th",0,2559,50
">50K","Private","Bachelors",0,0,50
"<=50K","Local-gov","HS-grad",0,0,25
"<=50K","Private","HS-grad",0,0,40
"<=50K",,"Some-college",0,0,40
"<=50K","Private","Bachelors",0,0,40
">50K","Private","HS-grad",0,0,50
"<=50K","Private","Bachelors",0,0,40
"<=50K","Private","10th",0,0,40
"<=50K","Private","Some-college",0,0,40
"<=50K","Private","HS-grad",0,0,40
"<=50K","Private","Bachelors",0,0,40
"<=50K","Private","9th",0,0,50
"<=50K","Private","HS-grad",0,0,40
"<=50K","Private","HS-grad",0,0,35
"<=50K","Private","HS-grad",0,0,40
"<=50K","Private","Some-college",0,0,40
"<=50K","Private","11th",0,0,60
">50K","Private","HS-grad",0,0,60
"<=50K","Private","HS-grad",0,0,45
"<=50K","Private","HS-grad",0,0,40
"<=50K","Local-gov","11th",0,0,7
"<=50K","Private","10th",0,0,42
">50K","Private","Masters",99999,0,50
"<=50K","Private","HS-grad",0,0,40
">50K","Private","Assoc-acdm",3103,0,48
">50K","Private","Bachelors",0,0,40
"<=50K","Private","5th-6th",0,0,40
">50K","Private","Bachelors",0,0,45
">50K","Private","Assoc-voc",7298,0,40
"<=50K","Private","HS-grad",0,0,40
">50K","Private","Bachelors",0,0,30
">50K","Private","Some-college",7298,0,40
"<=50K","Private","Bachelors",0,0,45
"<=50K","Self-emp-inc","Assoc-voc",0,0,40
"<=50K","Private","HS-grad",0,0,40
"<=50K",,"HS-grad",2329,0,15
">50K","Private","HS-grad",9386,0,40
">50K","Self-emp-not-inc","HS-grad",0,0,50
"<=50K","Private","Some-college",0,0,40
"<=50K","Self-emp-not-inc","Assoc-acdm",0,0,50
">50K","Self-emp-not-inc","10th",0,0,60
"<=50K","Private","Some-college",0,0,35
"<=50K","Local-gov","HS-grad",0,0,60
"<=50K","Private","HS-grad",0,0,40
">50K","Private","HS-grad",0,0,60
">50K","Private","HS-grad",0,0,40
"<=50K","Private","HS-grad",0,0,40
"<=50K","Local-gov","Some-college",0,0,40
"<=50K","Private","Some-college",0,0,40
"<=50K","Private","Bachelors",0,0,40
">50K","Self-emp-not-inc","HS-grad",0,0,50
"<=50K","Self-emp-inc","Bachelors",0,0,30
">50K","Private","Assoc-acdm",8614,0,60
"<=50K","Private","Bachelors",0,0,40
"<=50K","Local-gov","Assoc-voc",0,0,43
">50K","Self-emp-not-inc","Bachelors",99999,0,20
">50K","Private","HS-grad",0,0,40
"<=50K","Self-emp-not-inc","7th-8th",0,0,75
"<=50K","Private","HS-grad",0,0,60
"<=50K",,"HS-grad",0,0,20
"<=50K","Private","Assoc-voc",0,0,40
"<=50K","Self-emp-not-inc","Some-college",0,0,48
">50K","Self-emp-inc","HS-grad",0,0,68
"<=50K","Private","Some-college",0,0,40
"<=50K","Private","Some-college",0,0,30
">50K","Self-emp-not-inc","HS-grad",0,0,55
"<=50K","Private","HS-grad",2414,0,5
"<=50K","Private","Bachelors",0,0,40
"<=50K","Private","Assoc-voc",0,0,40
"<=50K","Private","HS-grad",0,0,40
"<=50K","Private","HS-grad",2290,0,40
"<=50K",,"HS-grad",0,0,10
"<=50K","Federal-gov","Assoc-acdm",0,0,40
"<=50K","Private","10th",0,0,40
"<=50K","Private","HS-grad",0,0,24
"<=50K","Self-emp-inc","HS-grad",0,0,42
"<=50K","Private","HS-grad",0,0,42
"<=50K","Private","HS-grad",0,0,40
"<=50K","Private","9th",0,0,40
"<=50K",,"10th",0,0,16
"<=50K","Private","Assoc-acdm",0,0,32
"<=50K","Private","Bachelors",0,0,55
"<=50K","Private","Bachelors",0,0,40
"<=50K","State-gov","Bachelors",0,0,40
"<=50K","Self-emp-inc","Bachelors",0,0,70
"<=50K","Self-emp-not-inc","HS-grad",0,0,40
">50K","Local-gov","Some-college",7688,0,50
"<=50K","Private","Some-college",0,0,40
"<=50K","Private","Bachelors",0,0,40
"<=50K","Private","HS-grad",0,0,50
"<=50K","Self-emp-not-inc","HS-grad",0,0,98
"<=50K","Self-emp-not-inc","10th",0,0,8
"<=50K","Private","Some-college",0,0,60
"<=50K","Local-gov","9th",0,0,40
"<=50K","Private","11th",0,0,40
"<=50K","Private","Some-college",0,0,55
"<=50K","Private","Bachelors",0,0,40
"<=50K","Private","Masters",0,0,40
"<=50K","Private","HS-grad",0,0,60
"<=50K","Private","12th",0,0,30
"<=50K","Self-emp-not-inc","Assoc-voc",0,0,60
"<=50K","Private","Some-college",0,0,40
">50K","Self-emp-not-inc","Bachelors",0,1887,70
"<=50K","Private","Some-college",0,0,30
">50K","Private","HS-grad",0,0,80
"<=50K","Private","9th",0,0,40
"<=50K","Private","HS-grad",0,0,43
"<=50K","State-gov","Some-college",0,0,10
"<=50K","Private","Some-college",0,0,18
"<=50K","Private","Some-college",0,0,40
"<=50K","Private","9th",0,0,40
"<=50K","Self-emp-not-inc","HS-grad",0,0,40
"<=50K","Private","9th",0,0,23
"<=50K","Private","Some-college",0,0,45
"<=50K","Private","HS-grad",0,0,40
"<=50K","Private","HS-grad",0,0,40
"<=50K","Private","HS-grad",0,1876,40
"<=50K","Private","HS-grad",0,0,40
"<=50K","Private","HS-grad",0,0,36
"<=50K","Private","9th",0,0,40
